date,month,precipitation,year,precipitation_mean,precipitation_std,z_precipitation
2009-10-01,10,268.39782152324915,2009,156.41062952095487,45.7663167047445,2.4469347779233632
2009-11-01,11,7.5822323459788095,2009,14.43278199392981,13.636496516823462,-0.5023687454838139
2009-12-01,12,2.291459349472234,2009,3.5870408676794963,3.055261729364951,-0.42404927399675
2010-01-01,1,0.7756671184433799,2010,4.3391869797813385,5.937198094161852,-0.6002022847851461
2010-02-01,2,11.005236549865003,2010,11.64356935728168,13.29139848912826,-0.04802600779284453
2010-03-01,3,4.65464545080431,2010,33.944871083505596,19.899972018727915,-1.4718727044005981
2010-04-01,4,134.28242745995522,2010,113.52077304994008,32.63089800654382,0.6362575251790982
2010-05-01,5,150.02669563889503,2010,176.61005974572427,42.39669549821466,-0.6270150018637342
2010-06-01,6,125.28930945671163,2010,178.15213825905576,34.12013792721124,-1.549314628068527
2010-07-01,7,258.4353636056185,2010,205.79268096131557,51.84837348634735,1.0153198471725389
2010-08-01,8,227.43517449265346,2010,216.6827667095796,69.25379687440768,0.1552609137456166
2010-09-01,9,228.70233949949034,2010,236.8360261560407,46.866101861715556,-0.17355159344273718
2010-10-01,10,162.70016456767917,2010,156.41062952095487,45.7663167047445,0.1374271625855413
2010-11-01,11,12.220589826520154,2010,14.43278199392981,13.636496516823462,-0.162225844789419
2010-12-01,12,2.055058512923324,2010,3.5870408676794963,3.055261729364951,-0.5014242609829048
2011-01-01,1,3.0666249358619098,2011,4.3391869797813385,5.937198094161852,-0.21433713744043012
2011-02-01,2,34.24120975544429,2011,11.64356935728168,13.29139848912826,1.7001702579789792
2011-03-01,3,24.55045093272929,2011,33.944871083505596,19.899972018727915,-0.4720820784036878
2011-04-01,4,98.26648650990683,2011,113.52077304994008,32.63089800654382,-0.4674798265427492
2011-05-01,5,177.35065904445946,2011,176.61005974572427,42.39669549821466,0.017468326010605655
2011-06-01,6,153.69152124412358,2011,178.15213825905576,34.12013792721124,-0.7168967800515406
2011-07-01,7,168.99974264204502,2011,205.79268096131557,51.84837348634735,-0.7096256998102133
2011-08-01,8,167.28286411520094,2011,216.6827667095796,69.25379687440768,-0.7133168840398134
2011-09-01,9,216.9188982322812,2011,236.8360261560407,46.866101861715556,-0.424979401583847
2011-10-01,10,171.55956804780726,2011,156.41062952095487,45.7663167047445,0.33100628622975753
2011-11-01,11,4.776646777347196,2011,14.43278199392981,13.636496516823462,-0.7081096823271108
2011-12-01,12,1.1288353122675971,2011,3.5870408676794963,3.055261729364951,-0.8045810058710903
2012-01-01,1,6.107650640238717,2012,4.3391869797813385,5.937198094161852,0.29786165669566234
2012-02-01,2,13.959434350436368,2012,11.64356935728168,13.29139848912826,0.1742378723389384
2012-03-01,3,31.846209314564476,2012,33.944871083505596,19.899972018727915,-0.10546053868648983
2012-04-01,4,100.21076595335035,2012,113.52077304994008,32.63089800654382,-0.4078958260333666
2012-05-01,5,224.01663222908974,2012,176.61005974572427,42.39669549821466,1.1181666855465604
2012-06-01,6,177.01780118478928,2012,178.15213825905576,34.12013792721124,-0.03324538361147231
2012-07-01,7,295.3071343610063,2012,205.79268096131557,51.84837348634735,1.7264659888175968
2012-08-01,8,178.96235958503894,2012,216.6827667095796,69.25379687440768,-0.5446691564499622
2012-09-01,9,230.47941708378494,2012,236.8360261560407,46.866101861715556,-0.1356334070841171
2012-10-01,10,221.830754654482,2012,156.41062952095487,45.7663167047445,1.4294382822104006
2012-11-01,11,24.940119494616738,2012,14.43278199392981,13.636496516823462,0.770530574896854
2012-12-01,12,1.555123411461409,2012,3.5870408676794963,3.055261729364951,-0.6650551200536361
2013-01-01,1,16.54028573766118,2013,4.3391869797813385,5.937198094161852,2.0550263886053237
2013-02-01,2,12.151746793890197,2013,11.64356935728168,13.29139848912826,0.03823355661363877
2013-03-01,3,57.05540565975389,2013,33.944871083505596,19.899972018727915,1.161335028737674
2013-04-01,4,148.9197864853777,2013,113.52077304994008,32.63089800654382,1.0848311140054645
2013-05-01,5,225.14239689335227,2013,176.61005974572427,42.39669549821466,1.1447198084027967
2013-06-01,6,163.42927669920027,2013,178.15213825905576,34.12013792721124,-0.4315006460778056
2013-07-01,7,221.6939960680902,2013,205.79268096131557,51.84837348634735,0.3066887934481059
2013-08-01,8,96.72497611995277,2013,216.6827667095796,69.25379687440768,-1.732147492319753
2013-09-01,9,218.5097801061347,2013,236.8360261560407,46.866101861715556,-0.3910341445503603
2013-10-01,10,79.81118487060485,2013,156.41062952095487,45.7663167047445,-1.6737078743854674
2013-11-01,11,8.767563636763953,2013,14.43278199392981,13.636496516823462,-0.4154452978576007
2013-12-01,12,9.986999018025244,2013,3.5870408676794963,3.055261729364951,2.094733190559097
2014-01-01,1,11.673888268391238,2014,4.3391869797813385,5.937198094161852,1.2353809275493497
2014-02-01,2,10.628441532957368,2014,11.64356935728168,13.29139848912826,-0.07637479420654181
2014-03-01,3,46.45133632545583,2014,33.944871083505596,19.899972018727915,0.628466473730735
2014-04-01,4,144.5748410273809,2014,113.52077304994008,32.63089800654382,0.9516767810439424
2014-05-01,5,204.9584152335301,2014,176.61005974572427,42.39669549821466,0.6686454015973861
2014-06-01,6,162.718927744776,2014,178.15213825905576,34.12013792721124,-0.4523196989180859
2014-07-01,7,172.87472393950156,2014,205.79268096131557,51.84837348634735,-0.6348889040942031
2014-08-01,8,278.5927073638886,2014,216.6827667095796,69.25379687440768,0.8939573488885122
2014-09-01,9,257.3994826916605,2014,236.8360261560407,46.866101861715556,0.438770363199716
2014-10-01,10,153.47912633245141,2014,156.41062952095487,45.7663167047445,-0.06405372771017757
2014-11-01,11,37.56220776189002,2014,14.43278199392981,13.636496516823462,1.6961413614871859
2014-12-01,12,7.938736552940895,2014,3.5870408676794963,3.055261729364951,1.4243282804337412
2015-01-01,1,0.1009806202200707,2015,4.3391869797813385,5.937198094161852,-0.7138394731563308
2015-02-01,2,31.26626931593477,2015,11.64356935728168,13.29139848912826,1.4763457716434836
2015-03-01,3,64.39719672813953,2015,33.944871083505596,19.899972018727915,1.5302697720366227
2015-04-01,4,41.00340425141985,2015,113.52077304994008,32.63089800654382,-2.222352838220313
2015-05-01,5,137.82066966261482,2015,176.61005974572427,42.39669549821466,-0.9149154109131662
2015-06-01,6,129.84719674885127,2015,178.15213825905576,34.12013792721124,-1.415731132542717
2015-07-01,7,239.4658687664196,2015,205.79268096131557,51.84837348634735,0.6494550463375829
2015-08-01,8,264.8459492721595,2015,216.6827667095796,69.25379687440768,0.6954590901337036
2015-09-01,9,215.68767538107932,2015,236.8360261560407,46.866101861715556,-0.4512504760340919
2015-10-01,10,142.7498908014968,2015,156.41062952095487,45.7663167047445,-0.29848892598433396
2015-11-01,11,9.454590106775868,2015,14.43278199392981,13.636496516823462,-0.3650638476688132
2015-12-01,12,0.4454546106131829,2015,3.5870408676794963,3.055261729364951,-1.0282543805892876
