osmid,lat,lon
10260997135,8.0486423,6.8402835
6008347668,8.1521999,6.7751282
10206983189,8.0362182,6.8853248
5974588439,8.1182314,6.7490682
5974987800,8.1921824,6.7675672
10214698009,7.9676724,6.9230404
5974633499,7.9037382,6.7977615
10214673436,7.9522012,6.9355876
10214673438,7.9524683,6.9354789
6008347678,8.1544989,6.7786717
10206983198,8.0354406,6.8852486
6054736927,7.8405824,6.7929808
10222955555,7.9858252,6.9225127
6027893798,7.8368753,6.8036317
10214673447,7.9528081,6.9346126
10117479462,8.0105684,6.9353288
5975073834,7.9445659,6.864764
10117479467,8.0004112,6.9004835
5975073839,7.9449025,6.8660439
5974633520,7.9014226,6.7968583
6027893814,7.8404135,6.7928243
5974633530,7.9030182,6.7976444
5974633531,7.9029664,6.7973185
6027893818,7.8410406,6.7910647
5974588475,8.1063041,6.7612384
10262070342,7.984476,6.7889449
10262070344,7.9843701,6.7892324
10242399305,8.0568308,6.8221872
10242399308,8.0569645,6.8217607
10214673485,7.9523698,6.9357736
10262070352,7.9835581,6.789055
10214181970,7.9658315,6.9656296
10214181974,7.9654053,6.9662561
6010129494,8.0546071,6.784689
6010129498,8.0538269,6.7845824
10214673499,7.9509577,6.9353185
10214181979,7.9648905,6.9668482
10240334944,8.0578038,6.8427002
10207001697,8.0362016,6.8894699
10207001699,8.0361203,6.8894887
10240334951,8.0583867,6.8421753
6097538153,8.0977264,6.8005586
10240334954,8.0587009,6.8420399
10184244330,8.0498895,6.8356674
10240334957,8.0592256,6.8419796
10207001710,8.0366018,6.8887781
10240334959,8.0597898,6.8417047
10207001714,8.0361214,6.8887322
6097538167,8.0963748,6.7977865
10242421879,8.0514865,6.8265517
10213887097,7.9346794,6.9545454
10206983289,8.0365236,6.8865264
10206973051,8.0364968,6.893705
10240334971,8.0585118,6.8421126
10240334973,8.0585091,6.8419855
10209922174,8.0143917,6.8892333
10206983292,8.0361485,6.8866623
10240334976,8.0584474,6.8417552
10206983297,8.0357104,6.8867625
6010129538,8.0529215,6.7841455
6503289985,7.9695407,6.9211207
10209885310,8.0036524,6.8915793
10240334981,8.0572181,6.8431482
10207001728,8.0367831,6.8897813
10206983303,8.036156,6.8862129
10206983304,8.0361507,6.8865265
10214155401,7.9740764,6.9465635
10209922186,8.0131255,6.8895445
10242421895,8.0503753,6.8264955
3856231564,8.0546177,6.979142
6008347789,8.1531602,6.781913
10242421896,8.0501125,6.8281588
10261068943,8.0451089,6.837097
10206983312,8.0366147,6.8881084
6010129553,8.0570625,6.7852398
10259518608,7.8779568,6.9388467
10206983316,8.0361258,6.8880207
6010129556,8.0558075,6.7852325
6105932950,8.095691,6.8012452
10242421909,8.0490972,6.8274306
10261068948,8.0455941,6.8369961
5974987933,8.192996,6.7561932
10206983325,8.0361218,6.8884407
6010129565,8.053835,6.785218
6008347812,8.0911535,6.7645985
10144801961,8.104231,6.7724095
6010129578,8.0510813,6.7844484
10242532524,8.0637602,6.8169192
10206983341,8.0347667,6.8868817
10207001776,8.0361274,6.8899734
10206983345,8.036145,6.8868692
6105691316,8.1034091,6.7717409
10255363253,7.8703377,6.9208074
10207001782,8.0353655,6.890216
6105932983,8.0907611,6.8002139
10206983351,8.0354579,6.8868252
10242532537,8.0627746,6.8149
10255363257,7.86936,6.9194341
10206983356,8.0356152,6.8867667
10184361149,8.0457891,6.8383689
6130994366,7.8811883,6.9458278
6105691325,8.1195099,6.7838672
6105932997,8.0914316,6.7991423
5975162053,8.0064718,6.8578236
6025436358,8.0975792,6.7650989
10197925062,8.0481935,7.0036182
10184361161,8.0469146,6.8383319
10233068749,8.1005888,6.7527466
10184361172,8.0478789,6.839862
10225693913,7.9415658,6.9179916
10255731931,7.8804517,6.9449437
10207114460,7.9876658,6.9036831
10189163740,7.8562355,6.9425304
6025436382,8.1000687,6.7553608
10259530978,7.879179,6.9424432
10259530981,7.8788584,6.9419533
10259530982,7.8786025,6.9422984
10259530983,7.8785828,6.9422002
10259530984,7.878571,6.9420792
10235874533,7.8384665,6.8393996
5210350826,8.0720165,6.7898462
10207114472,7.9867413,6.9035714
10207114471,7.9867498,6.9036623
10206983403,8.0287262,6.8847249
10207114476,7.9866482,6.9032323
10248643818,8.0658514,6.8378215
10207001837,8.0367249,6.887812
6097593585,8.0871774,6.8015832
10207001843,8.0364652,6.8872396
10248643830,8.0664355,6.8386124
6057659639,7.838896,6.7895793
5210350840,8.0740811,6.7882152
10248643837,8.0665564,6.8379471
10206983422,8.0263195,6.8824678
10255731972,7.880568,6.9449194
10255406340,7.8764897,6.9143867
7100742918,8.1193032,6.7839067
10255731979,7.8802507,6.9444392
10255406351,7.8756578,6.9152533
5210350866,8.0875819,6.7964086
5210350867,8.0880159,6.7971886
5210350869,8.0889215,6.7985504
5210350871,8.0893675,6.7995033
6507402520,7.8671248,6.867998
10267905318,7.8564186,6.9422485
10212427050,8.0928559,6.7974221
10267905324,7.8554962,6.9425702
10255406382,7.8756144,6.9163147
10212427054,8.0935995,6.7964249
10242532656,8.0634057,6.8142013
10255406385,7.8755799,6.9158587
5974633777,7.9057652,6.7981312
6071559476,7.8542823,6.8430023
10225638709,7.9299369,6.91379
5974633783,7.9053178,6.7975551
5974633784,7.9052833,6.7974236
6054745402,7.875262,6.8318873
5974897978,7.9871684,6.7905062
10225638716,7.9289235,6.914162
10185604413,8.037298,6.8894917
6507402559,7.8674397,6.8735582
10207505729,8.0004972,6.9515204
5210350916,8.0768147,6.8087542
10229478736,7.9704541,6.9169466
10255730005,7.8804425,6.9447301
10206983510,8.0265823,6.8821564
3856207191,8.0087279,6.8567025
6137902423,8.1141871,6.7801191
8554880354,8.0930921,6.7962556
8554880359,8.094727,6.7969805
10260996626,8.0486882,6.8379291
10206983533,8.0244384,6.8843132
10207505774,7.9970038,6.958463
10229478771,7.9698893,6.9198839
10231285108,8.1008519,6.7537124
10242379124,8.0581319,6.821857
10231285114,8.1004974,6.7539246
10229478778,7.9701571,6.9194118
10207001980,8.0159013,6.8869321
10229478781,7.9696536,6.9204606
3856207233,8.046304,6.8368062
10242379138,8.0573233,6.8204971
10242379139,8.0574524,6.8212022
3856207236,8.0478633,6.833477
10229478789,7.969749,6.9203329
10242379143,8.0570765,6.8207794
10242379144,8.0573604,6.8223935
3856207241,8.0490476,6.8305242
10229478797,7.9701255,6.9206974
10229478799,7.9697111,6.9198872
10242379153,8.0567863,6.821385
10255363474,7.878397,6.8804513
10242379155,8.0568307,6.8210523
10229478801,7.9698567,6.9199944
10229478807,7.9703268,6.9200112
10242379162,8.0561481,6.8218056
5210351003,8.0771558,6.8083934
10169488796,7.9695487,6.9872866
10157589918,7.9877819,6.9042554
10206983584,8.0172512,6.8855295
5210351011,8.0774876,6.8141729
10157589924,7.9873781,6.905838
10242416037,8.0607857,6.8252182
10262093224,7.9846273,6.7897527
5974633896,7.9048728,6.7970159
10182065578,8.0922336,6.7948186
10262093228,7.9845696,6.79018
5210351020,8.0924685,6.7973077
5210351024,8.093688,6.7973441
10262093233,7.984132,6.7900609
10209887666,8.0049231,6.8828294
10262093235,7.9839715,6.7901455
10262093237,7.9845897,6.7899353
5974588853,8.1067992,6.7619079
10209881534,8.0112019,6.8808945
10264739264,8.022118,6.7914542
3856207312,8.0906272,6.7981884
3856207314,8.091161,6.797896
10242532821,8.0660134,6.814164
3856207320,8.0934868,6.7954838
10242532829,8.065615,6.812841
10259496415,8.0591466,6.8381028
5210351076,8.1011415,6.8294675
10214641128,7.9619353,6.9321622
10240384494,8.042304,6.8370493
10206997999,8.0371687,6.889988
10262076910,7.9848965,6.7884673
10242532849,8.0643606,6.8157185
10206998002,8.0369703,6.890172
5210351092,8.0647204,6.8373788
10240384502,8.0411175,6.8374787
10240384503,8.0426566,6.836703
10184338940,8.0487454,6.8403304
10240384510,8.0421213,6.8355608
10184338945,8.0499117,6.8407597
10242379265,8.0456249,6.8323818
10184338948,8.0503367,6.8409985
10240384519,8.0430942,6.8363189
10242379274,8.0458608,6.8337993
10209922574,8.0145649,6.8880433
10242379283,8.0460734,6.834525
10262076949,7.9847384,6.7889994
10242532888,8.0638863,6.8179137
10242532889,8.0651759,6.8129598
10266291741,8.070235,6.8115234
10266291742,8.0703147,6.8118055
10240353823,8.0468736,6.8391974
10242532899,8.0661715,6.8155882
10242532900,8.0657696,6.8135212
10209922597,8.013807,6.8862581
10209922598,8.0134652,6.8865894
10242532902,8.0654815,6.8137422
10240353829,8.0461706,6.8388229
10240353831,8.0468365,6.8389548
