ADM1_NAME,ADM2_NAME,s2_ha,s1_ha,fused_ha,population,pop_affected
Kano,Takai,6.818023046875,687.5466026263787,694.3646256732538,273626.4644959608,2955.0054725551136
Kano,Sumaila,2.92294287109375,636.7314999479166,638.6806470182291,337989.54864829266,2134.5558730017906
Katsina,Mashi,16.466633300781247,1421.9584961661317,1437.456513451288,220734.05924193905,4293.371035358719
Katsina,Mai'Adua,37.28693656709559,1492.8463505775112,1523.3565313828879,260578.7733345601,6460.991025052819
Katsina,Daura,515.7572503251381,1312.6293608674207,1454.5000979113054,290855.6117905406,11145.201972114339
Katsina,Zango,5.72969802198223,769.1015263660386,773.8624008528645,201795.38168192987,3142.5570446325282
Katsina,Katsina,0.0,52.114008253676474,52.114008253676474,410547.3498086806,1604.0393925105823
Katsina,Rimi,113.36471406249998,703.8693804522825,788.1621003741576,199730.56493459703,3963.2241990680786
Katsina,Batagarawa,12.595173144531248,325.25548796951574,337.850661114047,244244.53285813282,1880.7115191347457
Katsina,Dutsi,34.87993115234375,1801.4737947679198,1836.353725920263,155975.7014574149,7489.048993183118
Katsina,Sandamu,0.0,843.3357670232078,843.3357670232078,177438.05144369652,5881.936058458393
Katsina,Baure,6.860366108685662,1427.3244396017158,1433.2156101049322,262506.4186737494,4817.829616647141
Katsina,Kurfi,2.9076740234375,457.4618674578738,460.3695414813113,150810.18086942643,1230.8284921837787
Katsina,Charanchi,7.76083818359375,318.38707111443017,326.14790929802393,176473.53866516365,1571.5670427902073
Katsina,Safana,32.978918198912375,1818.6454902512241,1847.7412847196679,239457.39970545523,3923.7216728356534
Katsina,Kankia,22.317367187499997,583.8477341440713,605.1946850229776,196063.58454004856,1363.2174320562215
Katsina,Dutsinma,43.68429677734375,384.9747563721662,426.71727980966614,219682.1320716906,1947.5843139358594
Katsina,Kusada,1.9407830078125001,486.86315596583955,488.80393897365207,127136.96146698669,1325.5845805084004
Katsina,Matazu,2.9137103515625,542.3836687415749,545.2973790931375,146894.30593460056,1665.4955414959027
Katsina,Danmusa,4.8551470703124995,1224.4609156284466,1229.3160626987592,146431.02210851456,2337.5407484192474
Katsina,Musawa,6.8045228515625,576.3203788786761,583.1249017302389,219530.6204531823,1556.984023833976
Katsina,Malumfashi,1.9445972656250001,399.3598461860449,401.3044434516699,236502.12882037344,1370.7451770988164
Katsina,Faskari,15.574299609375,4400.849365174279,4414.477289783654,251659.1131404334,7131.734436736212
Katsina,Kafur,12.596922857306984,1330.6874232816322,1343.284346138939,271075.34213362786,3301.8598237334513
