MNDWI,NBR,NDVI,date,month,year,NDVI_mean,NDVI_std,MNDWI_mean,MNDWI_std,NBR_mean,NBR_std,z_NDVI,z_MNDWI,z_NBR
-0.4377990943101115,0.1315119706199535,0.32792869652810114,2020-01-01,1,2020,0.3127440864958148,0.01483958052250194,-0.44020539683211335,0.012084946842535166,0.09963112480085516,0.023871508421610538,1.0232506241845045,0.19911568940729127,1.3355186968510575
-0.42041356679236963,0.03915532290897578,0.26773512640994646,2020-02-01,2,2020,0.2705682812972725,0.016686800396733394,-0.4273776308177524,0.04570445317017471,0.05547364356383777,0.02390439180948947,-0.16978418989662442,0.15237167370656288,-0.682649480685972
-0.40978565663667493,0.059183116682427185,0.2810379102572208,2020-03-01,3,2020,0.28582312879340777,0.027231274720844672,-0.41357206252604906,0.012511950257186011,0.059429051338129965,0.022852317855697208,-0.17572510230393407,0.3026231571852253,-0.010761912960241236
-0.4479849489274621,0.20157195951305124,0.47527245356104514,2020-04-01,4,2020,0.4081309940543325,0.06152393784117879,-0.442511687317016,0.04162322952392434,0.14781715352856767,0.04152234284877869,1.0913062762665682,-0.13149536143753934,1.2945995407883077
-0.43740612968538817,0.343234276690985,0.5775325342682909,2020-05-01,5,2020,0.5400337752276301,0.04314900527129165,-0.4045878477208297,0.044164863375471056,0.3229788499336405,0.04790751645971326,0.8690526885821367,-0.7430857803306509,0.42280268847536334
-0.31801192450840493,0.4180287585190487,0.5446734428761594,2020-06-01,6,2020,0.5567132369846013,0.03288471435423138,-0.32663126795955766,0.020837725819125144,0.4181947806965564,0.019105316342871645,-0.36612129206141986,0.41364127381126103,-0.008689841849683003
-0.3774092167819716,0.48649388384313735,0.6532624385520976,2020-07-01,7,2020,0.648275097307248,0.011249222030512505,-0.4050779865017749,0.02071458706284173,0.4582123984790711,0.025267621149362384,0.44334988066925507,1.3357142788250962,1.1192777189783036
-0.4369880175811389,0.39869105073446787,0.6204827443186353,2020-08-01,8,2020,0.5971661186013877,0.02456985251544212,-0.36966308912917756,0.05766442766514424,0.4289744854409464,0.02514544533682445,0.9489933121329527,-1.167529639640497,-1.2043308162106687
-0.3330918976664276,0.4246692513301791,0.5444107455788918,2020-09-01,9,2020,0.5511354783262049,0.049743572806238055,-0.32419021248152297,0.06305789698288289,0.43073812452928695,0.005357557384158659,-0.1351879723940899,-0.14116685793249667,-1.132768678699074
-0.3361749970976408,0.41533800606112664,0.5363543901366533,2020-10-01,10,2020,0.5818317118714308,0.06652767313998233,-0.36670318463149326,0.08417569232983467,0.4300774468394762,0.016547506258612964,-0.6835850344425493,0.3626722476392658,-0.8907348665106367
-0.4576472115379982,0.29006590561094237,0.5131301474055269,2020-11-01,11,2020,0.5514478218055735,0.03368900290729058,-0.44900279488674827,0.008651890852693536,0.3315450444436591,0.036218082723073544,-1.1373941373537764,-0.9991361193095405,-1.1452604807899325
-0.47524640017223124,0.15843940682395777,0.3978557683126199,2020-12-01,12,2020,0.4489632056876826,0.050153863751426116,-0.4973480315979639,0.020041965732433994,0.19843693490469946,0.03539826157123801,-1.019012964352313,1.1027676486825602,-1.1299291633361088
-0.4555552690291542,0.07761967703293507,0.316453451676472,2021-01-01,1,2021,0.3127440864958148,0.01483958052250194,-0.44020539683211335,0.012084946842535166,0.09963112480085516,0.023871508421610538,0.249964288076236,-1.2701646434235199,-0.9220803050716913
